Entidad federativa,Año,Trimestre,PEA,PD
Nacional,2010,4,48478718,2566784
Aguascalientes,2010,4,491955,34078
Baja California,2010,4,1411439,75862
Baja California Sur,2010,4,308752,17802
Campeche,2010,4,372630,9963
Coahuila de Zaragoza,2010,4,1176391,81619
Colima,2010,4,315677,13912
Chiapas,2010,4,1821266,51438
Chihuahua,2010,4,1348916,76889
Ciudad de M�xico,2010,4,4205116,278105
Durango,2010,4,653642,37655
Guanajuato,2010,4,2279071,131088
Guerrero,2010,4,1422289,29978
Hidalgo,2010,4,1092969,43758
Jalisco,2010,4,3398249,196324
M�xico,2010,4,6627998,445051
Michoac�n de Ocampo,2010,4,1730846,62824
Morelos,2010,4,784089,30268
Nayarit,2010,4,513252,19658
Nuevo Le�n,2010,4,2228480,128997
Oaxaca,2010,4,1599129,41802
Puebla,2010,4,2435395,102565
Quer�taro,2010,4,732591,52171
Quintana Roo,2010,4,692620,36550
San Luis Potos�,2010,4,1058129,46217
Sinaloa,2010,4,1254281,51504
Sonora,2010,4,1148109,87332
Tabasco,2010,4,904727,74195
Tamaulipas,2010,4,1443793,110111
Tlaxcala,2010,4,484627,31414
Veracruz de Ignacio de la Llave,2010,4,3023168,112933
Yucat�n,2010,4,904821,23075
Zacatecas,2010,4,614301,31646
Nacional,2011,4,50772496,2465029
Aguascalientes,2011,4,515998,32594
Baja California,2011,4,1507177,106729
Baja California Sur,2011,4,338791,15237
Campeche,2011,4,383579,10535
Coahuila de Zaragoza,2011,4,1272864,71358
Colima,2011,4,331644,14313
Chiapas,2011,4,1912096,42914
Chihuahua,2011,4,1437635,86607
Ciudad de M�xico,2011,4,4393420,265105
Durango,2011,4,707317,38305
Guanajuato,2011,4,2397360,122727
Guerrero,2011,4,1474825,31387
Hidalgo,2011,4,1118479,46707
Jalisco,2011,4,3469069,183441
M�xico,2011,4,6969793,415542
Michoac�n de Ocampo,2011,4,1853718,53297
Morelos,2011,4,800395,21472
Nayarit,2011,4,511957,26771
Nuevo Le�n,2011,4,2264278,124345
Oaxaca,2011,4,1695676,49165
Puebla,2011,4,2608697,111020
Quer�taro,2011,4,773975,40664
Quintana Roo,2011,4,707912,29984
San Luis Potos�,2011,4,1044239,34937
Sinaloa,2011,4,1294791,58578
Sonora,2011,4,1263018,77019
Tabasco,2011,4,956138,57982
Tamaulipas,2011,4,1529566,103544
Tlaxcala,2011,4,511982,29933
Veracruz de Ignacio de la Llave,2011,4,3142520,101086
Yucat�n,2011,4,961324,23670
Zacatecas,2011,4,622263,38061
Nacional,2012,4,51317999,2495728
Aguascalientes,2012,4,520994,31295
Baja California,2012,4,1512675,88900
Baja California Sur,2012,4,343753,19145
Campeche,2012,4,404822,8529
Coahuila de Zaragoza,2012,4,1282325,72172
Colima,2012,4,344603,16568
Chiapas,2012,4,1897400,47367
Chihuahua,2012,4,1517276,87609
Ciudad de M�xico,2012,4,4470040,270661
Durango,2012,4,718467,39794
Guanajuato,2012,4,2473548,138177
Guerrero,2012,4,1391164,39069
Hidalgo,2012,4,1174639,61843
Jalisco,2012,4,3454205,185213
M�xico,2012,4,7099226,408702
Michoac�n de Ocampo,2012,4,1885496,77472
Morelos,2012,4,803846,33482
Nayarit,2012,4,540494,33001
Nuevo Le�n,2012,4,2308619,124806
Oaxaca,2012,4,1672753,43291
Puebla,2012,4,2603161,108298
Quer�taro,2012,4,754137,43622
Quintana Roo,2012,4,713671,30899
San Luis Potos�,2012,4,1105769,34245
Sinaloa,2012,4,1324241,62457
Sonora,2012,4,1253737,77196
Tabasco,2012,4,919467,52787
Tamaulipas,2012,4,1510118,92741
Tlaxcala,2012,4,529415,31398
Veracruz de Ignacio de la Llave,2012,4,3209734,79425
Yucat�n,2012,4,963909,22273
Zacatecas,2012,4,614295,33291
Nacional,2013,4,52370886,2425287
Aguascalientes,2013,4,539578,31680
Baja California,2013,4,1555422,79403
Baja California Sur,2013,4,355413,17954
Campeche,2013,4,401356,8254
Coahuila de Zaragoza,2013,4,1319979,66360
Colima,2013,4,357271,17824
Chiapas,2013,4,1956349,69684
Chihuahua,2013,4,1532475,67787
Ciudad de M�xico,2013,4,4429488,239573
Durango,2013,4,732490,41014
Guanajuato,2013,4,2517481,129867
Guerrero,2013,4,1413436,38710
Hidalgo,2013,4,1205244,59840
Jalisco,2013,4,3525624,178247
M�xico,2013,4,7295121,369524
Michoac�n de Ocampo,2013,4,1937004,84617
Morelos,2013,4,826041,35438
Nayarit,2013,4,554195,28749
Nuevo Le�n,2013,4,2298389,108869
Oaxaca,2013,4,1630893,47549
Puebla,2013,4,2651019,99552
Quer�taro,2013,4,764035,48512
Quintana Roo,2013,4,732583,31273
San Luis Potos�,2013,4,1150039,35960
Sinaloa,2013,4,1326518,62669
Sonora,2013,4,1356891,78163
Tabasco,2013,4,979766,59098
Tamaulipas,2013,4,1608390,93998
Tlaxcala,2013,4,539756,26211
Veracruz de Ignacio de la Llave,2013,4,3249207,119199
Yucat�n,2013,4,1002360,24723
Zacatecas,2013,4,627073,24986
Nacional,2014,4,52108400,2284602
Aguascalientes,2014,4,536639,29428
Baja California,2014,4,1571047,73989
Baja California Sur,2014,4,368237,22110
Campeche,2014,4,400431,10261
Coahuila de Zaragoza,2014,4,1314365,69554
Colima,2014,4,356667,17843
Chiapas,2014,4,1865624,53647
Chihuahua,2014,4,1593911,67872
Ciudad de M�xico,2014,4,4314435,257145
Durango,2014,4,744530,40895
Guanajuato,2014,4,2457663,103265
Guerrero,2014,4,1438315,30102
Hidalgo,2014,4,1220081,44295
Jalisco,2014,4,3517378,172124
M�xico,2014,4,7265129,383289
Michoac�n de Ocampo,2014,4,1944386,77678
Morelos,2014,4,810715,27055
Nayarit,2014,4,555305,24774
Nuevo Le�n,2014,4,2302251,95447
Oaxaca,2014,4,1664270,43569
Puebla,2014,4,2631791,90042
Quer�taro,2014,4,772029,42080
Quintana Roo,2014,4,748707,34836
San Luis Potos�,2014,4,1138630,32304
Sinaloa,2014,4,1371707,52416
Sonora,2014,4,1372652,69802
Tabasco,2014,4,988823,61012
Tamaulipas,2014,4,1537566,73394
Tlaxcala,2014,4,544945,24864
Veracruz de Ignacio de la Llave,2014,4,3131139,106910
Yucat�n,2014,4,993185,25378
Zacatecas,2014,4,635847,27222
Nacional,2015,4,53809017,2240498
Aguascalientes,2015,4,548262,22266
Baja California,2015,4,1597427,59740
Baja California Sur,2015,4,375914,15810
Campeche,2015,4,411969,12422
Coahuila de Zaragoza,2015,4,1313758,55749
Colima,2015,4,359330,15298
Chiapas,2015,4,2014866,65491
Chihuahua,2015,4,1627360,55254
Ciudad de M�xico,2015,4,4403287,230791
Durango,2015,4,779604,30599
Guanajuato,2015,4,2536929,113625
Guerrero,2015,4,1456709,30388
Hidalgo,2015,4,1295452,42034
Jalisco,2015,4,3714858,158702
M�xico,2015,4,7655997,421938
Michoac�n de Ocampo,2015,4,1955573,61009
Morelos,2015,4,788902,24911
Nayarit,2015,4,585739,26324
Nuevo Le�n,2015,4,2370447,94512
Oaxaca,2015,4,1711751,46220
Puebla,2015,4,2710296,82196
Quer�taro,2015,4,842023,38768
Quintana Roo,2015,4,790255,29021
San Luis Potos�,2015,4,1174432,31993
Sinaloa,2015,4,1358096,55813
Sonora,2015,4,1386422,64345
Tabasco,2015,4,988960,73788
Tamaulipas,2015,4,1600479,68750
Tlaxcala,2015,4,566621,28648
Veracruz de Ignacio de la Llave,2015,4,3235550,132804
Yucat�n,2015,4,1010211,26024
Zacatecas,2015,4,641538,25265
Nacional,2016,4,54034800,1911126
Aguascalientes,2016,4,566914,22075
Baja California,2016,4,1636376,37124
Baja California Sur,2016,4,394690,16703
Campeche,2016,4,413636,16250
Coahuila de Zaragoza,2016,4,1366191,53433
Colima,2016,4,365409,12626
Chiapas,2016,4,1964597,54305
Chihuahua,2016,4,1674505,39529
Ciudad de M�xico,2016,4,4350772,188631
Durango,2016,4,783889,27440
Guanajuato,2016,4,2583592,106324
Guerrero,2016,4,1421962,23395
Hidalgo,2016,4,1230173,32816
Jalisco,2016,4,3694536,122827
M�xico,2016,4,7508735,362535
Michoac�n de Ocampo,2016,4,2002116,47988
Morelos,2016,4,819646,18995
Nayarit,2016,4,591315,21349
Nuevo Le�n,2016,4,2466545,101740
Oaxaca,2016,4,1716346,29821
Puebla,2016,4,2789480,77919
Quer�taro,2016,4,807243,37642
Quintana Roo,2016,4,806043,30000
San Luis Potos�,2016,4,1190841,23404
Sinaloa,2016,4,1381104,38741
Sonora,2016,4,1412624,58722
Tabasco,2016,4,1026527,77948
Tamaulipas,2016,4,1633550,67860
Tlaxcala,2016,4,580978,20824
Veracruz de Ignacio de la Llave,2016,4,3162476,109936
Yucat�n,2016,4,1050904,19221
Zacatecas,2016,4,641085,13003
Nacional,2017,4,54696638,1830793
Aguascalientes,2017,4,568031,20823
Baja California,2017,4,1677618,46052
Baja California Sur,2017,4,402255,16416
Campeche,2017,4,418346,14295
Coahuila de Zaragoza,2017,4,1350875,49524
Colima,2017,4,380332,13496
Chiapas,2017,4,1906694,47783
Chihuahua,2017,4,1676051,43551
Ciudad de M�xico,2017,4,4335159,198691
Durango,2017,4,778302,25466
Guanajuato,2017,4,2633796,100150
Guerrero,2017,4,1496749,23277
Hidalgo,2017,4,1237664,32118
Jalisco,2017,4,3757723,110347
M�xico,2017,4,7761047,310747
Michoac�n de Ocampo,2017,4,1996173,42650
Morelos,2017,4,846148,20079
Nayarit,2017,4,614098,22021
Nuevo Le�n,2017,4,2473654,85123
Oaxaca,2017,4,1696053,29613
Puebla,2017,4,2851683,71009
Quer�taro,2017,4,837024,38277
Quintana Roo,2017,4,821059,25850
San Luis Potos�,2017,4,1218530,27826
Sinaloa,2017,4,1381394,47866
Sonora,2017,4,1422873,50810
Tabasco,2017,4,990981,68456
Tamaulipas,2017,4,1647462,65599
Tlaxcala,2017,4,585404,21501
Veracruz de Ignacio de la Llave,2017,4,3236584,126803
Yucat�n,2017,4,1043167,17590
Zacatecas,2017,4,653709,16984
Nacional,2018,4,56023199,1828591
Aguascalientes,2018,4,584160,18600
Baja California,2018,4,1741615,38807
Baja California Sur,2018,4,425517,15533
Campeche,2018,4,433649,15083
Coahuila de Zaragoza,2018,4,1391498,50265
Colima,2018,4,396857,14635
Chiapas,2018,4,1969051,69128
Chihuahua,2018,4,1772618,39028
Ciudad de M�xico,2018,4,4440317,227775
Durango,2018,4,804613,32810
Guanajuato,2018,4,2659163,101227
Guerrero,2018,4,1559635,18896
Hidalgo,2018,4,1302465,27125
Jalisco,2018,4,3797311,96824
M�xico,2018,4,7924199,304645
Michoac�n de Ocampo,2018,4,2014164,49490
Morelos,2018,4,838342,17618
Nayarit,2018,4,620909,22171
Nuevo Le�n,2018,4,2508932,88389
Oaxaca,2018,4,1766964,35018
Puebla,2018,4,2849781,71782
Quer�taro,2018,4,861125,31870
Quintana Roo,2018,4,872731,26671
San Luis Potos�,2018,4,1221282,26105
Sinaloa,2018,4,1389771,43261
Sonora,2018,4,1464617,53013
Tabasco,2018,4,1019337,80052
Tamaulipas,2018,4,1697868,65144
Tlaxcala,2018,4,603336,24269
Veracruz de Ignacio de la Llave,2018,4,3330020,91111
Yucat�n,2018,4,1100165,16052
Zacatecas,2018,4,661187,16194
